customer_id,customer_name,email,phone,address,city,country
C001,James Palmer,eric47@example.net,(811)606-2737x15869,"Unit 0651 Box 2070, DPO AA 80551",East Christopher,Oman
C002,Taylor Stein,goconnor@example.org,001-476-977-6228,"08046 Davis Terrace, Halltown, NH 50822",Johnsontown,Suriname
C003,Crystal Brown,matthew21@example.org,001-772-388-1377x028,"915 Shawn Isle Apt. 110, New Kristineborough, MH 75633",Loriland,France
C004,Kenneth Tran,xmontes@example.org,+1-661-715-9408x215,"6797 John Union Apt. 024, Palmerstad, ME 77003",North Laura,Sao Tome and Principe
C005,Matthew Small,marywells@example.com,947-202-2960x4432,"74954 Cordova Path, North John, GU 73829",Lake Gary,Anguilla
C006,Marcus Lucas,christopherwatson@example.com,985-710-6794,"3331 Lopez Mountains Suite 959, Christinachester, MA 21771",Huntmouth,Denmark
C007,Jeffrey Martin,crystal32@example.net,(879)822-8777x2519,"3033 Hanson Garden, Navarromouth, AS 97504",Annaborough,Tanzania
C008,Julie Kim,icobb@example.com,265.680.7412,"05015 Angela Divide Suite 739, Bradleytown, ID 26430",New Randall,Saint Martin
C009,Laurie Cohen,dhardin@example.net,+1-518-913-9890,"2583 James Fall, Reneetown, MP 89296",Martinezborough,Greenland
C010,Sarah Espinoza,sherry72@example.org,701.882.0433x97189,"3473 Pacheco Shore, New Tiffany, RI 57349",West Marcustown,Guam
C011,Stephen Sharp,millerleroy@example.org,001-707-805-6260,"22338 Benson Island, Rowlandbury, PW 06555",Valdeztown,Ecuador
C012,Jason Pugh,wbrown@example.org,611-818-2422x412,"425 Brian Underpass, Moniquehaven, OR 64593",Lewisbury,Costa Rica
C013,Heather Kennedy,rachelbrown@example.net,+1-720-695-2004x61526,"9128 Potter Rue, Victormouth, HI 42683",Lake Lisastad,Mauritius
C014,Carla Clark,robert84@example.net,(610)233-9937x8861,"774 Little Turnpike Apt. 333, Royfurt, IL 40608",North Nicolechester,Austria
C015,Angelica Webb,regina04@example.net,578-461-7063x04891,"254 Dennis Corner Suite 785, New Blake, NY 81913",Katrinafort,United States of America
C016,Christopher Vasquez,isabellagriffin@example.org,896-971-8325x8238,"6657 Nelson Burg Apt. 734, West Rachelport, MP 66268",Lake Amandashire,United States Virgin Islands
C017,Terri Snyder,zterry@example.net,6076942007,"3111 Johnson Flats, Jamesmouth, KS 40178",West Susan,Papua New Guinea
C018,Justin Kidd,trowe@example.org,+1-865-339-8402x89141,"92840 Campbell Key Suite 690, Valdezberg, VI 52602",Tinafurt,Egypt
C019,Dean Rhodes,medinapeter@example.net,(684)963-9855,"3898 Sharp Mountain, Latoyamouth, PR 25122",West Gregory,Spain
C020,Scott Gordon,abigailfernandez@example.org,935-253-7950x209,"77805 Barbara Crossroad Suite 075, Jeremiahchester, TX 99149",Tiffanyfort,Poland
C021,Gail Wilson,huntlarry@example.com,2269876811,"9090 Eric Isle Suite 636, New Paulfort, CT 43602",West Andresshire,Qatar
C022,Justin Tucker,andrewzamora@example.net,+1-215-569-5620x17537,"412 Emily Fall Apt. 970, East Chad, MS 37701",Reyesbury,Saint Helena
C023,Rachel Hammond PhD,john46@example.net,001-604-953-1943x3750,"817 Miguel Branch Apt. 566, North David, MT 63186",East Andrewville,Cyprus
C024,Stephanie Castaneda,dennismckenzie@example.com,001-593-403-6149x872,"23467 Cassandra Inlet Apt. 874, North Vickie, NV 08885",Joelchester,New Caledonia
C025,Lindsey Garcia,david17@example.com,692-512-4938,"597 Ford Canyon, West Debbiemouth, MI 92292",New Christopher,Tunisia
C026,Tracy Lloyd,chaveztonya@example.net,+1-308-994-8706x05664,"9263 Rachel Street Suite 762, South Hollyton, IA 21201",West Victor,Hong Kong
C027,Nicole Villegas,michaelmitchell@example.net,558.703.0468x7506,"137 Riddle Plaza Apt. 511, Robertburgh, KS 27681",East Nicholas,Mali
C028,Lisa Garrison,jenniferstone@example.org,790-636-1332,"17656 Randy Branch Suite 125, Washingtonland, CO 72384",East Sandramouth,Gibraltar
C029,Justin Romero,murphybrandi@example.com,510-376-0954,"74220 Gregory Crossing Suite 210, Ericstad, HI 28900",Dennismouth,Cocos (Keeling) Islands
C030,Bruce Harris,tgarcia@example.com,335.305.8319x9717,"0816 Wallace Rapid, North Kelseyborough, IA 49606",New Latoyachester,Kenya
